2024-06-07 00:06:20.566 [main] INFO  com.ra.server.Server - Starting server...
2024-06-07 00:06:38.486 [pool-3-thread-2] INFO  com.ra.server.comands.Command - Information about commands was issued to the client
2024-06-07 00:06:38.679 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:06:40.393 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:06:42.527 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.RemoveByIdCommand - Remove element with id 10
2024-06-07 00:06:45.115 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:06:50.256 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.AddCommand - Added ticket
2024-06-07 00:06:50.270 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:06:56.413 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.AddCommand - Added ticket
2024-06-07 00:06:56.429 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:06:59.743 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.AddCommand - Added ticket
2024-06-07 00:06:59.758 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:07:03.861 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.AddCommand - Added ticket
2024-06-07 00:07:03.874 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:07:09.208 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.AddCommand - Added ticket
2024-06-07 00:07:09.221 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:07:10.931 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:07:12.754 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.RemoveByIdCommand - Remove element with id 16
2024-06-07 00:07:20.516 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:07:23.844 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:07:25.626 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.RemoveByIdCommand - Remove element with id 19
2024-06-07 00:07:56.134 [pool-3-thread-1] INFO  com.ra.server.comands.Command - Information about commands was issued to the client
2024-06-07 00:07:56.224 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:08:00.517 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:09:54.083 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:10:20.020 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.AddCommand - Added ticket
2024-06-07 00:10:20.047 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:10:29.941 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:10:31.146 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:10:32.013 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:10:33.382 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:10:34.008 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:15:08.987 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:15:09.921 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:15:10.979 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:15:12.023 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:15:12.902 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:15:14.345 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:18:45.279 [pool-3-thread-5] INFO  com.ra.server.comands.Command - Information about commands was issued to the client
2024-06-07 00:18:45.485 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:18:48.754 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:18:54.773 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:18:55.776 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:18:56.409 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:18:57.176 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:15.847 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:17.407 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.RemoveByIdCommand - Remove element with id 17
2024-06-07 00:25:18.939 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:25.994 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:30.207 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:37.588 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:39.224 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:42.386 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.RemoveByIdCommand - Remove element with id 18
2024-06-07 00:25:50.002 [pool-3-thread-4] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:53.386 [pool-3-thread-5] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:54.252 [pool-3-thread-1] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:25:59.328 [pool-3-thread-2] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
2024-06-07 00:26:52.549 [pool-3-thread-3] INFO  com.ra.server.comands.allCommands.ShowCommand - Collection shown
